Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
Araxá,0,0,0,1,1,3,2,3,3,1,4,1,2,4,3,1,1,2,0,0,3,1,0,1,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,44,31070
"Frutal,Iturama",1,6,6,11,7,8,10,11,14,9,23,9,13,35,23,18,27,18,15,9,12,5,4,1,12,7,4,0,2,2,1,1,2,2,0,1,0,1,1,1,0,0,0,332,31071
Uberaba,2,4,2,5,11,12,23,17,22,24,46,36,43,33,43,67,81,59,105,104,80,51,54,57,36,21,29,17,21,16,9,8,5,10,2,2,7,3,1,1,1,0,0,1170,31072
Ituiutaba,0,2,0,2,1,4,3,8,13,12,17,30,22,24,35,66,47,61,71,102,99,84,98,59,55,46,56,70,29,29,26,16,8,12,9,6,11,10,3,1,2,0,2,1251,31073
"Patrocínio,Monte Carmelo",0,0,3,0,1,2,0,0,0,1,3,0,0,1,2,0,0,1,0,1,1,0,0,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,22,31074
"Uberlândia,Araguari",11,41,33,72,217,396,415,689,957,879,979,1157,651,504,419,476,457,661,858,898,811,434,354,308,206,190,133,119,83,67,46,43,28,43,40,40,38,49,83,72,56,32,5,14050,31075
Manga,3,0,0,2,4,6,3,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,31076
João Pinheiro,0,0,0,0,1,0,0,2,4,1,0,1,1,1,1,1,4,1,4,1,3,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,31077
Congonhas,0,1,1,2,6,3,3,1,13,5,5,8,9,7,5,19,4,6,15,2,0,5,3,3,2,0,0,0,3,2,1,0,1,0,0,0,0,0,0,2,1,0,0,138,31078
Conselheiro Lafaiete,2,4,2,3,4,3,6,3,10,9,11,10,9,8,11,9,8,3,1,3,1,0,1,2,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,129,31079
São Gotardo,0,0,0,0,0,2,3,2,0,1,1,2,2,2,7,1,4,1,0,2,3,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,31082
Bocaiúva,8,5,1,5,6,1,0,3,2,1,2,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,42,31083
Montes Claros,37,43,67,77,78,58,43,78,73,43,61,66,34,51,51,46,33,23,25,25,17,9,11,6,9,8,8,14,4,6,6,2,6,2,3,2,10,6,7,6,7,5,0,1166,31084
