Residência,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
TIMOTEO,0,35,63,49,88,70,82,53,67,93,67,68,50,35,36,20,10,30,10,13,3,9,5,3,5,6,1,0,3,2,3,1,2,1,1,1,3,5,2,2,0,0,0,0,997,31035
DIVINOLANDIA DE MINAS,0,3,2,5,9,23,32,34,56,52,64,63,73,46,44,65,58,22,36,24,26,19,10,5,14,2,2,1,0,0,1,0,0,0,0,0,1,1,3,0,0,0,2,0,798,31036
MATHIAS LOBATO,0,0,0,0,0,1,2,2,0,3,5,12,29,12,6,9,11,5,3,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,109,31036
ITANHOMI,0,37,35,91,79,50,32,19,14,8,7,3,1,2,3,2,0,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,393,31036
VIRGOLANDIA,0,0,0,1,1,4,3,7,29,28,39,61,79,66,81,73,83,35,24,7,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,31036
SAO JOSE DA SAFIRA,0,0,1,1,2,4,7,3,17,31,30,14,12,11,10,11,2,6,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,31036
FERNANDES TOURINHO,0,0,3,4,3,4,8,2,2,4,4,18,18,8,3,0,0,5,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,31036
SAO GERALDO DA PIEDADE,0,0,0,3,2,1,4,2,6,0,9,15,13,14,30,29,7,16,21,15,11,18,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,227,31036
GOVERNADOR VALADARES,0,30,57,112,114,216,457,359,1006,1412,1231,1099,826,466,412,285,237,194,269,208,186,109,243,306,41,23,20,41,44,82,68,16,19,23,114,66,83,75,155,113,7,7,5,2,10838,31036
ALVARENGA,0,5,11,4,7,7,11,8,9,17,23,33,27,6,24,21,12,1,1,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,253,31036
