Residência,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Total,CIR
TUPACIGUARA,0,0,2,4,1,20,22,68,113,127,130,106,125,101,123,141,142,161,121,114,105,56,49,35,34,6,12,11,13,9,9,3,4,1,2,0,0,4,2,0,0,0,0,0,1976,31075
INDIANOPOLIS,0,1,1,9,8,8,15,15,37,11,20,22,16,18,21,36,39,32,37,33,22,24,4,7,6,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,31075
MONTE ALEGRE DE MINAS,0,7,8,12,15,28,40,14,24,34,25,20,45,25,30,38,29,29,16,28,15,14,11,12,7,13,5,6,3,3,1,2,2,0,0,0,1,0,1,0,0,0,0,0,563,31075
ARAPORA,0,1,0,1,9,10,18,21,36,23,19,18,63,20,47,34,35,23,34,42,34,17,27,13,17,5,4,0,6,5,5,5,7,0,3,1,0,0,1,0,0,0,0,0,604,31075
JUVENILIA,0,0,2,3,2,4,8,6,8,11,18,13,8,4,18,11,11,30,8,2,2,1,2,2,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,182,31076
MIRAVANIA,0,0,0,1,1,1,6,6,6,16,30,31,28,28,29,47,42,24,20,22,12,9,3,8,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,31076
MANGA,0,5,16,27,31,52,100,174,194,188,220,303,244,167,100,65,28,23,6,5,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1954,31076
MONTALVANIA,0,0,1,8,5,4,25,72,60,96,100,118,56,71,114,88,51,28,19,14,7,10,6,2,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,963,31076
SAO JOAO DAS MISSOES,0,2,0,0,4,5,15,9,55,88,91,75,97,71,64,69,48,34,29,26,16,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,31076
LAGOA GRANDE,0,3,5,8,3,11,15,8,12,21,9,1,6,2,0,4,3,0,3,4,1,5,1,3,1,4,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,139,31077
JOAO PINHEIRO,0,28,34,65,77,82,135,112,119,136,126,128,150,101,108,119,112,113,118,101,88,98,57,53,38,36,28,34,20,18,15,7,13,4,3,13,14,13,27,5,0,0,2,0,2550,31077
BRASILANDIA DE MINAS,0,0,3,4,3,2,5,5,7,13,8,7,6,6,19,17,13,8,9,8,11,8,4,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,31077
ENTRE RIOS DE MINAS,0,5,8,14,50,116,80,51,116,78,113,197,251,224,153,168,140,99,57,42,28,4,1,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2003,31078
OURO BRANCO,0,22,47,63,101,109,131,98,147,292,381,306,280,212,291,641,119,192,170,249,51,75,91,96,58,34,56,30,43,35,9,7,14,17,17,12,6,6,4,11,9,6,0,0,4538,31078
DESTERRO DE ENTRE RIOS,0,1,0,0,9,21,22,31,44,47,40,57,93,101,97,112,16,10,13,26,3,10,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,769,31078
JECEABA,0,1,1,0,8,5,10,18,13,26,39,26,53,36,73,86,62,40,41,47,44,30,16,16,8,5,4,3,1,0,2,0,1,2,0,0,0,2,0,1,0,1,1,0,722,31078
CONGONHAS,0,34,33,46,62,156,138,100,357,262,355,480,458,299,643,937,779,454,808,665,533,410,496,344,125,104,87,31,66,37,19,22,34,4,29,18,14,11,10,10,17,29,12,1,9529,31078
SAO BRAS DO SUACUI,0,1,3,5,9,11,19,34,30,41,68,75,48,48,44,71,34,44,33,25,21,10,14,12,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,31078
QUELUZITO,0,1,2,0,2,4,10,10,12,11,13,17,19,11,15,38,21,20,19,19,14,11,2,4,1,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,285,31079
SANTANA DOS MONTES,0,1,31,31,41,44,81,62,70,84,70,76,52,49,30,26,17,8,16,12,10,2,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,31079
CASA GRANDE,0,0,1,1,0,5,7,10,11,12,7,6,7,30,32,18,3,6,9,42,5,14,2,7,2,13,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,31079
CARANAIBA,0,4,2,1,2,5,2,9,17,12,22,28,32,25,26,19,8,19,25,14,14,7,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,298,31079
SENHORA DE OLIVEIRA,0,5,15,13,24,28,35,51,45,32,64,61,69,63,36,46,35,24,10,17,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,31079
CATAS ALTAS DA NORUEGA,0,0,2,0,2,7,10,7,13,32,23,42,57,59,41,55,32,27,28,14,11,3,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,31079
CRISTIANO OTONI,0,1,2,3,3,5,13,23,40,53,50,65,109,91,130,101,100,107,90,99,91,52,35,22,8,10,11,5,4,6,4,3,2,0,2,0,0,0,0,0,0,0,1,0,1341,31079
RIO ESPERA,0,0,0,1,3,2,6,11,18,33,33,44,25,31,21,22,15,9,10,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,31079
PIRANGA,0,3,0,9,15,16,36,28,60,92,94,90,152,146,103,132,51,76,70,68,40,25,12,9,3,3,0,3,3,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1345,31079
LAMIM,0,2,2,0,1,0,1,2,2,2,19,14,18,17,25,13,13,9,6,12,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,31079
CONSELHEIRO LAFAIETE,0,168,306,564,884,1289,2168,2233,3350,3603,3667,3678,4433,3392,2966,2853,2083,1215,956,856,567,337,168,177,89,66,75,49,24,22,10,15,9,11,21,8,12,14,15,18,13,4,7,0,42395,31079
ITAVERAVA,0,1,3,2,3,6,28,16,37,43,52,26,42,45,36,30,9,4,7,6,5,3,4,2,1,0,2,2,2,0,0,1,1,3,0,0,0,0,0,1,1,0,0,0,424,31079
TIROS,0,97,117,111,45,71,74,42,47,33,19,28,9,4,2,5,4,11,5,6,5,9,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,31082
RIO PARANAIBA,0,11,25,23,32,59,83,92,117,197,221,265,377,316,300,389,310,279,170,175,147,104,67,45,43,26,16,19,10,4,1,2,0,0,1,0,0,0,1,1,1,0,0,0,3929,31082
SAO GOTARDO,0,15,35,38,59,87,190,262,400,457,646,653,615,659,643,578,329,315,256,289,142,123,82,82,39,17,16,9,1,0,3,1,0,0,1,0,0,0,0,0,1,1,0,0,7044,31082
ARAPUA,0,3,2,5,4,9,10,17,25,14,44,117,73,34,81,75,83,59,36,16,16,3,13,8,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,754,31082
MATUTINA,0,2,3,10,30,42,44,33,114,55,50,60,98,89,41,38,31,20,21,11,11,10,6,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,824,31082
CARMO DO PARANAIBA,0,134,233,228,282,302,380,421,539,716,690,605,596,436,466,308,274,196,127,151,101,98,69,59,46,36,30,28,31,26,20,15,9,6,6,5,10,1,0,1,4,11,3,2,7701,31082
SANTA ROSA DA SERRA,0,12,0,7,25,39,97,54,47,46,62,30,28,24,22,26,16,18,18,11,12,10,1,3,5,4,6,3,1,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,633,31082
FRANCISCO DUMONT,0,15,25,38,23,74,30,21,32,51,16,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,337,31083
GUARACIAMA,0,18,22,13,12,7,12,7,10,10,4,6,8,3,6,4,1,2,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,154,31083
BOCAIUVA,0,106,497,354,190,142,135,88,95,105,86,73,84,37,70,69,50,33,25,27,17,10,9,16,12,8,5,4,2,7,2,7,2,8,6,6,6,2,2,13,5,7,5,0,2427,31083
JOAQUIM FELICIO,0,10,14,17,25,14,48,54,59,85,85,50,71,76,49,30,50,59,62,35,19,12,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,942,31083
OLHOS-D'AGUA,0,65,56,60,37,55,56,55,40,38,55,36,38,25,18,13,5,7,5,2,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,31083
ENGENHEIRO NAVARRO,0,18,59,56,46,42,50,24,49,16,30,18,9,8,8,7,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,446,31083
ITACAMBIRA,0,2,10,7,3,4,6,2,7,1,4,4,10,3,1,2,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,31084
JURAMENTO,0,4,14,17,18,21,31,15,23,24,17,15,9,16,19,11,16,21,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,31084
GLAUCILANDIA,0,7,14,9,4,12,12,7,11,11,14,8,3,3,11,4,16,7,2,3,0,4,1,4,1,1,0,0,0,0,0,0,0,1,6,1,1,2,1,1,0,0,0,0,182,31084
MONTES CLAROS,0,131,295,321,547,759,1328,1380,2146,2784,3245,3104,3152,2178,2519,2140,1608,1257,733,765,611,496,237,213,151,100,119,60,66,61,48,50,37,38,57,36,43,58,53,32,54,46,41,0,33099,31084
CLARO DOS POCOES,0,2,2,7,9,23,61,49,126,165,115,97,81,76,60,35,17,18,7,3,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,962,31084
MIRABELA,0,1,7,10,19,37,51,74,81,94,94,64,70,56,75,49,47,34,30,21,10,12,8,10,1,1,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,964,31084
TAIOBEIRAS,0,4,3,4,7,18,30,37,123,141,106,197,245,212,317,339,281,179,154,214,156,135,80,58,51,35,22,18,18,14,5,5,4,2,1,3,3,0,1,2,0,4,3,0,3231,31085
INDAIABIRA,0,2,0,1,1,0,6,1,11,30,47,54,66,81,56,44,10,8,2,1,1,4,4,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,440,31085
MONTEZUMA,0,0,0,0,3,2,10,19,12,34,2,40,50,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,180,31085
SANTO ANTONIO DO RETIRO,0,0,0,0,0,0,0,4,2,4,2,2,17,23,31,47,65,50,59,50,36,45,17,4,9,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,31085
NINHEIRA,0,0,0,0,0,0,2,0,5,5,4,5,14,6,7,24,13,11,4,10,24,8,8,9,11,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,179,31085
SAO JOAO DO PARAISO,0,0,4,12,10,9,10,17,30,8,25,58,123,77,79,141,166,117,93,106,60,42,24,13,1,2,1,2,1,1,7,1,0,0,0,0,0,2,0,0,0,0,0,0,1242,31085
RIO PARDO DE MINAS,0,0,0,4,5,5,5,6,25,39,60,92,64,95,127,167,150,101,10,75,73,33,30,32,14,15,9,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1244,31085
VARGEM GRANDE DO RIO PARDO,0,0,0,1,0,0,0,0,3,1,2,2,9,10,4,3,10,3,6,6,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,31085
BERIZAL,0,0,0,0,1,1,1,0,0,1,8,7,11,2,4,9,8,1,3,1,5,1,2,0,0,1,2,0,1,1,1,0,0,0,1,0,0,0,3,1,0,2,0,0,79,31085
CURRAL DE DENTRO,0,3,0,1,4,1,0,7,17,18,24,32,17,23,28,45,28,41,4,19,8,10,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,31085
SAO GONCALO DO PARA,0,4,10,19,21,7,17,28,80,51,74,96,81,34,50,64,53,31,17,11,9,1,5,2,4,3,1,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,7,0,790,31086
SAO SEBASTIAO DO OESTE,0,3,3,24,44,38,68,75,77,98,199,174,171,155,112,132,110,46,46,26,19,15,13,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1660,31086
ARAUJOS,0,13,40,54,72,100,122,136,104,196,233,152,134,88,79,51,67,71,54,23,27,23,18,13,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1882,31086
DIVINOPOLIS,0,138,237,301,503,656,782,972,1196,1474,1186,1101,1215,879,936,1055,823,679,496,530,449,361,258,228,163,137,94,92,57,39,25,44,42,36,45,25,40,28,16,21,19,13,5,0,17396,31086
CLAUDIO,0,2,22,55,60,119,151,152,267,260,293,425,467,334,224,167,148,165,129,104,64,30,41,29,22,16,8,1,2,2,0,0,0,0,1,0,2,2,0,2,4,0,0,0,3770,31086
PERDIGAO,0,208,190,206,215,130,210,124,123,101,76,56,56,43,46,43,52,42,29,22,38,21,21,10,13,5,13,4,0,1,0,0,0,1,0,0,1,2,1,0,2,1,0,0,2106,31086
CARMO DO CAJURU,0,47,108,200,243,287,368,281,400,422,310,253,250,94,86,50,48,27,20,15,28,16,9,6,8,8,6,4,2,1,1,3,1,0,0,5,4,6,2,2,2,0,0,0,3623,31086
ITAPECERICA,0,96,107,91,122,117,273,189,370,419,290,199,200,101,51,64,55,31,20,25,21,20,6,3,4,1,1,0,1,0,1,1,0,0,1,0,1,0,5,6,10,1,8,0,2911,31086
LAGOA DA PRATA,0,74,172,229,371,233,490,505,671,935,655,687,588,524,433,388,293,258,209,162,150,86,76,46,46,24,28,23,15,9,7,6,4,12,5,4,5,4,2,2,2,3,3,0,8439,31087
SANTO ANTONIO DO MONTE,0,23,49,94,145,289,465,466,708,718,699,772,951,796,274,136,91,53,20,21,18,4,3,0,0,2,0,2,0,1,0,2,0,0,1,0,1,0,1,0,0,2,0,0,6807,31087
JAPARAIBA,0,2,9,35,35,67,75,87,97,94,90,109,87,55,56,42,31,28,19,18,8,10,8,2,1,1,2,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1075,31087
PEDRA DO INDAIA,0,2,2,7,22,35,31,52,46,58,106,123,153,109,104,84,59,38,21,21,11,3,11,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1104,31087
ARCOS,0,10,49,69,102,186,204,234,403,412,573,602,587,432,424,344,258,280,227,183,211,155,89,81,59,32,48,21,8,15,19,8,10,5,6,0,12,13,8,7,1,1,0,0,6388,31087
CARMO DA MATA,0,25,34,51,38,91,116,128,141,187,205,212,242,218,181,190,120,88,65,24,22,7,8,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,31088
OLIVEIRA,0,4,8,18,32,77,112,157,178,208,290,320,287,188,190,171,234,168,173,141,153,170,48,113,50,39,15,15,25,2,5,1,0,0,0,0,1,4,2,2,1,1,0,0,3603,31088
PASSA TEMPO,0,0,0,6,26,29,25,45,46,97,144,161,184,125,134,133,96,49,35,41,24,20,10,6,6,2,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1450,31088
SAO FRANCISCO DE PAULA,0,0,2,4,13,16,50,69,80,116,118,112,238,158,155,135,78,100,82,51,12,8,8,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,31088
CARMOPOLIS DE MINAS,0,11,22,31,63,99,186,181,230,299,241,238,281,235,137,240,179,160,132,113,86,66,46,17,9,6,8,3,1,1,0,0,1,0,0,0,1,0,0,1,4,0,0,0,3328,31088
SANTO ANTONIO DO AMPARO,0,252,252,246,228,219,122,90,156,143,100,96,58,24,35,22,24,25,3,11,3,2,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,2120,31088
CANA VERDE,0,36,59,73,146,176,142,149,134,114,101,88,74,63,62,66,34,22,4,17,14,12,9,11,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626,31089
CAMACHO,0,0,0,6,8,3,22,13,17,13,35,18,58,23,21,28,2,15,13,6,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,31089
CANDEIAS,0,24,66,98,156,215,225,311,316,327,373,264,292,208,84,97,44,12,15,22,14,2,3,1,5,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3185,31089
CAMPO BELO,0,13,57,93,248,394,656,909,1051,987,1167,994,913,621,491,374,247,124,122,102,78,10,5,3,2,5,5,1,2,0,1,0,0,1,4,0,1,2,4,0,0,1,0,0,9688,31089
SANTANA DO JACARE,0,149,124,86,25,28,15,7,8,9,3,6,4,9,3,5,2,2,0,2,1,0,1,4,1,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,500,31089
CRISTAIS,0,0,1,18,58,73,155,243,303,312,399,535,318,177,183,166,89,44,47,27,13,7,7,1,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3183,31089
AGUANIL,0,1,4,11,21,18,63,70,82,131,124,148,87,42,33,20,25,19,10,3,2,6,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,925,31089
ANDRELANDIA,0,0,0,5,9,3,12,7,24,24,30,37,35,43,36,48,57,55,53,39,41,39,18,5,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,632,31090
PEDRO TEIXEIRA,0,0,0,0,1,0,6,15,18,7,6,4,10,6,8,10,4,3,3,2,8,4,2,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,31090
PASSA-VINTE,0,0,0,0,0,1,8,4,2,6,1,3,6,5,16,33,22,22,10,11,18,5,4,6,2,1,8,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,198,31090
ARANTINA,0,0,0,0,4,4,24,19,8,29,62,24,36,16,31,7,0,0,0,3,0,6,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,278,31090
BIAS FORTES,0,0,0,1,1,1,0,0,0,6,9,2,28,49,26,10,14,2,1,0,2,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,158,31090
OLARIA,0,0,1,0,1,3,3,1,1,8,7,6,8,6,15,13,25,7,11,10,3,2,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,31090
BOCAINA DE MINAS,0,0,0,0,0,1,3,1,1,3,2,1,3,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,21,31090
SANTA BARBARA DO MONTE VERDE,0,0,1,0,9,10,10,19,10,19,21,12,15,23,32,49,29,24,24,16,13,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,31090
LIMA DUARTE,0,0,3,4,5,12,20,37,80,95,186,222,277,255,383,334,272,230,195,127,114,92,22,48,8,14,5,1,3,3,1,3,0,0,1,0,0,0,0,0,0,0,3,0,3055,31090
RIO PRETO,0,0,1,0,0,2,9,6,12,19,26,23,37,41,36,56,33,37,24,21,28,18,26,9,28,3,6,5,12,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,522,31090
LIBERDADE,0,0,0,1,2,0,1,2,1,3,12,16,4,14,13,16,8,9,8,4,3,5,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,132,31090
BOM JARDIM DE MINAS,0,2,0,1,0,9,10,4,10,26,26,27,32,33,43,36,34,23,31,61,36,48,29,15,9,0,5,2,2,2,1,1,1,0,4,0,0,1,1,0,1,3,1,0,570,31090
SANTA RITA DE JACUTINGA,0,4,3,8,15,39,48,71,39,62,53,44,29,15,22,36,49,25,9,11,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,31090
CASSIA,0,4,13,5,17,22,28,37,55,66,191,313,398,305,443,486,351,266,192,144,94,39,24,8,16,9,2,3,7,0,1,1,2,2,3,1,3,1,0,3,0,0,1,0,3556,31091
CAPETINGA,0,0,0,4,50,49,42,51,72,71,86,127,149,182,152,163,156,109,100,101,64,68,38,22,14,8,3,1,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1891,31091
DELFINOPOLIS,0,36,43,40,50,51,128,133,90,73,49,35,17,23,33,7,22,6,6,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,849,31091
IBIRACI,0,0,0,3,1,4,4,9,11,8,13,17,43,75,29,58,96,89,62,144,96,120,3,52,46,33,8,10,2,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1045,31091
CLARAVAL,0,1,0,0,2,2,4,1,4,10,26,46,25,32,26,61,25,60,31,34,28,63,64,12,10,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,31091
ITAU DE MINAS,0,5,7,11,14,25,20,18,58,73,75,89,119,96,130,181,169,206,170,117,152,148,34,33,21,15,10,4,7,2,2,2,2,0,0,1,1,0,1,1,1,1,5,0,2026,31092
ALPINOPOLIS,0,7,3,13,34,49,34,53,87,79,81,113,88,66,74,94,90,68,34,49,55,52,33,19,6,8,7,3,4,2,3,1,1,0,0,2,0,0,0,0,0,0,0,0,1312,31092
BOM JESUS DA PENHA,0,2,0,0,0,0,6,5,8,7,10,10,12,14,10,25,20,5,11,11,10,5,7,5,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1,2,0,0,196,31092
SAO JOSE DA BARRA,0,3,9,7,2,4,14,35,21,31,42,48,47,30,33,43,35,45,30,25,29,22,12,18,7,4,0,0,1,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,603,31092
NOVA RESENDE,0,1,2,2,6,14,17,14,46,50,80,106,165,150,134,100,64,65,34,60,68,59,42,10,5,0,9,0,2,0,0,0,0,0,1,0,2,1,2,1,0,0,0,0,1312,31092
PASSOS,0,119,133,211,325,385,614,363,1168,1335,1365,2118,2007,1087,1330,1262,818,735,595,388,297,270,95,186,109,57,59,59,36,42,29,14,7,13,7,17,15,47,24,13,29,22,19,0,17824,31092
FORTALEZA DE MINAS,0,0,0,1,1,5,14,6,1,3,5,9,14,8,14,9,15,6,6,9,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,137,31092
CARMO DO RIO CLARO,0,4,4,13,13,18,13,28,42,58,100,98,135,137,115,154,143,147,114,138,106,112,45,21,12,7,9,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1791,31092
SAO JOAO BATISTA DO GLORIA,0,0,0,1,11,12,8,20,19,19,42,45,29,16,26,34,31,48,53,30,29,27,23,19,11,4,2,2,4,0,1,0,1,0,0,0,2,0,0,1,1,1,0,0,572,31092
PIMENTA,0,57,90,126,203,207,183,157,149,166,165,134,136,97,77,78,55,34,23,13,13,13,15,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206,31093
PIUMHI,0,141,215,257,345,437,503,417,594,704,733,559,653,401,307,340,244,196,172,150,118,97,56,41,28,21,36,29,28,16,8,5,10,2,4,3,12,16,9,10,11,5,2,0,7935,31093
GUAPE,0,0,2,7,12,33,13,47,63,82,117,104,295,239,124,134,93,68,41,40,38,28,11,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603,31093
SAO ROQUE DE MINAS,0,2,1,3,2,7,4,17,16,17,28,50,67,50,58,66,91,78,69,81,46,50,33,14,12,9,9,5,0,5,2,1,1,0,1,0,0,1,0,1,0,0,0,0,897,31093
DORESOPOLIS,0,1,7,3,2,3,4,5,6,3,8,9,5,2,1,5,3,2,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,0,0,0,82,31093
VARGEM BONITA,0,0,2,8,15,19,27,10,29,23,34,27,33,20,19,9,10,12,17,12,17,10,2,4,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,365,31093
CAPITOLIO,0,7,11,27,22,31,33,22,30,40,45,48,81,19,50,44,43,40,59,60,64,51,14,11,13,6,2,4,2,4,5,3,1,1,4,1,2,0,7,2,0,0,0,0,909,31093
JOAIMA,0,1,4,5,3,9,22,12,65,62,104,93,61,19,33,26,8,16,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,557,31094
SANTA MARIA DO SALTO,0,0,0,1,0,0,2,0,4,5,6,6,7,15,14,12,6,6,5,3,7,3,4,4,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,31094
RIO DO PRADO,0,3,1,2,0,1,7,9,8,20,31,15,32,32,37,21,13,12,10,6,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,31094
JEQUITINHONHA,0,3,1,3,4,3,15,18,19,33,41,43,55,35,43,29,34,23,15,7,14,7,4,4,1,3,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,466,31094
BANDEIRA,0,0,0,1,0,1,4,1,5,10,3,2,4,7,16,28,19,13,10,10,18,12,7,8,6,3,2,0,1,0,0,0,0,0,3,5,2,0,0,0,0,0,1,0,202,31094
JACINTO,0,0,0,0,0,5,5,4,12,37,42,59,64,16,15,23,4,11,9,2,2,3,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,31094
RUBIM,0,0,1,0,1,1,0,5,13,6,18,22,40,21,51,47,32,13,11,18,14,15,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,31094
SALTO DA DIVISA,0,1,0,1,0,2,0,9,30,45,10,11,2,2,5,4,7,3,4,5,3,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,31094
JORDANIA,0,0,0,1,1,1,1,0,5,6,9,6,17,8,9,6,5,7,2,3,8,10,2,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,31094
SANTO ANTONIO DO JACINTO,0,0,1,2,0,2,6,10,14,20,9,16,30,27,22,34,34,17,23,22,17,25,7,3,6,7,11,1,0,3,1,4,3,1,1,0,0,0,0,0,0,0,0,0,379,31094
ALMENARA,0,1,4,0,9,8,19,14,53,90,99,88,71,39,82,48,52,30,17,21,24,19,14,5,8,5,1,1,2,2,2,2,2,3,0,1,0,0,0,0,1,0,0,0,837,31094
PALMOPOLIS,0,0,0,3,5,6,3,6,16,22,13,15,30,21,3,1,6,4,0,19,14,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,31094
