"Reg Saúde (CIR)/Municíp Res";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  PEDRINOPOLIS";-;-;-;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"31071 Frutal/Iturama";1;6;6;11;7;8;10;11;14;9;23;9;13;35;23;18;27;18;15;9;12;5;4;1;12;7;4;-;2;2;1;1;2;2;-;1;-;1;1;1;-;-;-;332
".....  SAO FRANCISCO DE SALES";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
".....  UNIAO DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  ITURAMA";-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;10
".....  LIMEIRA DO OESTE";-;-;-;-;-;-;-;-;1;-;10;4;6;32;19;12;20;16;10;3;3;1;-;1;7;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;150
".....  FRONTEIRA";1;4;6;6;2;2;5;3;1;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;36
".....  FRUTAL";-;2;-;1;4;5;4;8;11;5;11;5;6;3;2;4;7;-;5;4;6;1;2;-;1;-;3;-;2;1;-;-;-;1;-;1;-;-;1;-;-;-;-;106
".....  PIRAJUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PLANURA";-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
".....  CARNEIRINHO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  COMENDADOR GOMES";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  ITAPAGIPE";-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;1;-;-;2;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"31072 Uberaba";2;4;2;5;11;12;23;17;22;24;46;36;43;33;43;67;81;59;105;104;80;51;54;57;36;21;29;17;21;16;9;8;5;10;2;2;7;3;1;1;1;-;-;1170
".....  SACRAMENTO";-;-;-;-;-;-;-;-;1;2;1;-;3;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;16
".....  UBERABA";2;4;2;1;4;7;12;4;8;4;13;9;20;16;29;33;47;38;54;45;45;23;31;20;29;11;17;8;9;10;3;5;2;8;2;2;6;3;1;1;1;-;-;589
".....  CAMPO FLORIDO";-;-;-;4;5;5;11;12;13;18;32;24;20;15;12;23;16;15;5;17;17;4;7;6;2;4;7;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;298
".....  CONCEICAO DAS ALAGOAS";-;-;-;-;1;-;-;1;-;-;-;3;-;-;2;9;17;6;46;40;17;23;16;31;5;6;5;9;9;5;5;2;3;1;-;-;-;-;-;-;-;-;-;262
".....  AGUA COMPRIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  VERISSIMO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CONQUISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"31073 Ituiutaba";-;2;-;2;1;4;3;8;13;12;17;30;22;24;35;66;47;61;71;102;99;84;98;59;55;46;56;70;29;29;26;16;8;12;9;6;11;10;3;1;2;-;2;1251
".....  GURINHATA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  CENTRALINA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;6;6;1;10;12;12;13;11;13;6;5;3;-;3;1;1;-;-;-;1;-;-;-;-;-;-;-;107
".....  CACHOEIRA DOURADA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
".....  SANTA VITORIA";-;-;-;1;1;1;-;2;2;-;3;5;2;4;7;1;-;2;-;6;1;4;4;3;2;4;3;-;-;-;1;1;-;-;-;-;2;-;-;-;-;-;-;62
".....  CAPINOPOLIS";-;-;-;-;-;-;-;-;-;3;-;2;-;-;-;1;1;-;-;1;1;-;-;-;1;-;2;1;-;-;1;-;-;3;2;-;1;5;-;1;-;-;-;26
