Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
"Frutal,Iturama",14,14,27,34,86,143,231,263,283,250,226,221,320,317,358,285,350,286,387,376,354,294,196,175,114,149,92,64,34,32,29,30,21,13,8,5,8,8,9,11,7,11,4,10,9,4,6,13,8,7,20,8,6224,31071
Uberaba,99,159,172,216,281,317,467,537,503,428,500,606,697,723,796,743,960,929,1019,981,922,781,596,492,367,391,257,176,157,120,101,52,57,69,68,72,90,62,59,61,54,90,81,61,62,58,57,68,72,85,89,70,16930,31072
Ituiutaba,78,70,86,127,140,135,151,203,135,116,153,144,229,308,284,298,324,274,271,276,251,296,235,183,116,118,119,71,38,38,28,10,12,14,13,13,12,5,12,6,17,9,12,14,5,2,0,29,12,48,13,11,5564,31073
"Patrocínio,Monte Carmelo",14,15,18,15,39,52,86,146,85,117,164,223,252,284,252,336,588,327,317,199,180,121,76,58,16,27,17,9,7,4,4,2,0,2,0,1,1,3,1,4,2,3,5,2,2,0,2,6,3,1,4,2,4094,31074
"Uberlândia,Araguari",254,306,394,532,1285,1498,2028,2596,2155,2133,2514,2542,3162,3742,3337,2865,2896,2271,1900,1263,1363,1035,597,365,239,138,128,100,58,107,76,34,42,49,41,64,79,95,71,68,81,70,24,33,26,27,56,57,83,86,66,86,45117,31075
Manga,0,2,0,0,2,1,9,10,25,12,29,41,45,42,8,35,32,56,79,80,62,58,57,31,16,13,9,6,4,3,12,4,7,4,5,2,3,1,2,1,0,2,0,1,0,1,0,0,0,0,1,0,813,31076
João Pinheiro,66,159,158,260,321,230,217,194,106,89,90,68,110,101,101,106,195,154,188,139,144,76,108,47,55,37,24,25,9,11,0,1,0,0,1,1,0,1,0,1,6,3,1,0,5,1,0,0,2,0,0,0,3611,31077
Congonhas,4,3,3,5,7,3,12,8,8,8,16,31,39,84,72,75,124,170,114,76,74,93,41,45,27,15,4,3,3,2,1,0,1,3,1,1,1,3,1,1,0,0,5,5,9,4,2,1,2,2,2,2,1216,31078
Conselheiro Lafaiete,9,10,13,9,8,4,9,11,19,11,27,11,33,47,41,58,99,161,76,93,115,93,69,42,21,37,28,4,13,7,10,5,9,7,4,13,6,13,8,14,14,13,23,11,23,10,14,16,12,8,11,13,1435,31079
São Gotardo,2,2,1,4,6,7,22,15,19,12,21,25,32,48,39,32,46,67,92,115,111,94,115,65,47,36,23,25,2,3,2,1,2,2,1,1,0,2,1,0,2,0,0,0,0,1,0,3,0,0,1,2,1149,31082
