Município,Em Branco,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
Francisco Sá,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,3,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31051
"Janaúba,Monte Azul",0,0,3,3,3,3,1,2,0,6,1,5,5,9,23,41,29,32,28,13,17,13,14,12,14,9,12,16,5,2,8,11,3,3,1,2,2,0,1,0,1,5,3,2,0,1,0,2,0,0,3,3,0,1,373,31052
Januária,0,0,1,2,0,2,1,1,4,3,7,16,3,11,19,12,21,36,43,52,33,10,14,7,6,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,317,31053
Pirapora,0,41,48,9,101,18,13,26,11,33,22,13,7,28,81,63,64,40,45,42,46,20,32,22,15,9,7,6,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,2,1,0,1,880,31055
Patos de Minas,0,0,1,2,0,5,3,3,1,2,0,4,2,13,19,20,26,32,15,22,9,1,0,4,1,1,3,3,1,0,1,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,1,1,2,1,1,3,2,3,216,31057
"Unaí,Paracatu",0,1,0,1,3,3,0,1,5,2,3,2,2,4,8,5,4,3,5,6,10,7,12,2,9,7,5,2,1,1,0,3,2,2,0,4,0,3,2,2,0,0,0,2,0,1,0,0,0,1,0,0,1,0,137,31058
Manhuaçu,0,3,1,29,36,38,61,242,221,90,68,65,78,250,348,137,124,113,66,85,60,21,28,5,1,4,5,2,3,0,2,0,1,2,1,1,2,0,1,0,0,0,1,1,0,1,2,0,5,7,6,3,0,0,2220,31059
Ponte Nova,3,0,1,2,4,4,1,4,5,9,9,16,37,227,434,457,254,214,140,133,79,38,42,21,26,17,4,10,8,0,1,1,0,0,0,0,0,0,1,1,1,1,4,1,2,4,1,10,11,4,2,4,0,1,2249,31060
Viçosa,0,1,1,2,0,0,1,1,1,0,0,0,1,15,17,12,11,13,4,10,17,1,4,1,3,0,1,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,125,31061
Araçuaí,0,1,2,1,3,0,0,2,2,1,1,2,1,32,35,52,28,28,19,38,34,7,15,1,9,3,1,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,327,31064
Itaobim,0,4,4,5,11,8,32,39,91,59,277,160,114,285,354,250,239,96,115,138,71,21,19,27,16,13,2,7,1,2,1,2,0,2,1,1,0,1,1,0,0,0,2,3,1,0,1,2,3,1,0,0,1,0,2483,31065
Nanuque,0,0,1,0,0,0,0,5,1,3,0,4,2,10,14,16,18,26,23,56,61,47,60,58,26,28,20,5,9,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,2,509,31066
Padre Paraíso,0,0,0,0,0,1,0,0,2,4,9,13,7,11,12,25,19,13,3,8,7,2,3,3,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,31067
Pedra azul,0,2,10,33,63,97,75,108,137,158,118,93,56,67,111,64,45,22,31,15,9,3,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1327,31068
Araxá,0,0,4,2,3,4,0,1,0,3,1,2,3,2,13,14,11,7,5,1,8,2,3,3,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,105,31070
"Frutal,Iturama",0,3,4,2,1,6,11,9,6,5,19,8,11,32,37,51,23,38,34,32,19,11,16,11,6,15,5,0,0,0,1,3,2,5,0,7,8,3,2,5,0,1,4,2,2,7,23,6,22,3,10,5,5,3,544,31071
Uberaba,0,8,6,10,3,7,3,7,11,12,6,4,8,43,95,92,91,51,25,31,19,20,19,7,9,14,4,3,2,0,8,3,5,4,4,7,2,2,3,5,3,4,1,2,3,6,1,2,2,10,8,3,1,2,701,31072
Ituiutaba,0,2,5,4,5,8,9,12,5,10,15,22,14,46,72,68,55,41,31,23,14,5,7,8,3,1,5,3,0,1,0,0,1,3,0,1,2,0,0,0,0,2,2,1,2,1,8,2,11,13,6,5,2,6,562,31073
