"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
".....  RODEIRO";-;-;7;4;7;15;32;37;60;88;80;102;117;63;69;50;40;35;29;19;22;9;10;5;6;-;4;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;913
".....  ERVALIA";-;-;1;-;3;15;8;21;66;39;80;74;78;-;26;13;9;9;15;7;7;2;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;476
".....  PIRAUBA";-;1;-;1;10;41;26;22;23;29;45;48;63;65;15;14;18;17;13;21;13;15;17;20;6;4;6;4;6;5;5;5;1;1;3;5;1;-;4;5;3;-;-;-;601
".....  UBA";-;5;9;13;33;93;139;148;358;525;561;760;936;645;778;769;560;426;263;362;348;272;187;229;121;85;59;47;40;52;25;42;19;24;29;29;13;27;18;8;17;15;7;-;9096
".....  DIVINESIA";-;-;-;-;-;1;-;1;3;6;15;12;9;9;12;14;14;10;6;10;6;4;6;2;7;2;2;-;1;2;3;3;1;-;3;3;3;2;-;1;2;-;-;-;175
".....  BRAS PIRES";-;1;1;-;5;7;12;4;12;6;2;9;10;21;18;32;20;26;22;19;8;17;6;3;7;-;5;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278
".....  MERCES";-;-;-;1;2;4;14;16;17;23;11;29;48;35;48;23;25;25;33;28;40;18;11;15;4;4;-;-;1;2;-;-;4;2;1;-;4;-;2;1;-;-;1;-;492
".....  RIO POMBA";-;-;4;2;11;15;33;46;102;68;49;30;19;31;17;19;31;26;22;49;44;45;14;24;16;14;29;10;7;5;4;3;2;1;1;3;-;1;-;-;-;-;-;-;797
"31050 Coração de Jesus";-;16;25;26;38;103;186;201;301;373;371;420;411;317;314;239;162;115;98;62;63;59;19;21;13;15;18;9;5;4;-;1;1;-;1;3;1;3;-;2;1;-;-;-;4017
".....  JEQUITAI";-;-;1;1;8;16;48;39;42;47;33;59;35;7;7;1;20;-;3;3;3;5;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;381
".....  CORACAO DE JESUS";-;1;5;4;14;70;105;115;196;253;257;282;294;244;222;162;92;62;47;30;23;16;7;7;2;4;2;-;-;-;-;-;-;-;1;3;-;2;-;1;-;-;-;-;2523
".....  LAGOA DOS PATOS";-;-;-;1;4;2;10;22;19;13;12;5;14;13;5;9;6;5;5;3;7;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;159
".....  SAO JOAO DA LAGOA";-;15;19;20;12;13;16;18;14;35;27;24;12;15;17;18;16;7;6;7;9;6;-;1;-;1;-;1;-;1;-;-;-;-;-;-;1;1;-;1;-;-;-;-;333
".....  SAO JOAO DO PACUI";-;-;-;-;-;2;7;7;30;25;42;50;56;38;63;49;28;41;37;19;21;31;12;12;11;8;14;8;5;3;-;-;1;-;-;-;-;-;-;-;1;-;-;-;621
"31051 Francisco Sá";-;10;24;16;50;90;129;145;169;283;303;374;472;413;372;335;253;210;111;45;63;38;24;12;12;12;6;5;8;3;4;6;1;1;1;-;1;3;1;1;1;-;1;-;4008
".....  CRISTALIA";-;1;-;1;-;-;10;19;16;3;19;22;46;31;49;23;16;22;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;284
".....  CAPITAO ENEAS";-;7;10;10;12;38;46;48;40;101;71;105;97;76;74;67;46;32;24;8;16;11;7;6;4;3;1;-;2;1;-;1;-;-;1;-;1;1;1;-;1;-;1;-;970
".....  JOSENOPOLIS";-;-;3;-;3;1;7;5;3;4;5;4;5;14;11;13;7;4;3;5;6;7;4;1;3;2;-;3;5;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;134
".....  FRANCISCO SA";-;-;4;2;6;10;15;11;30;75;83;121;156;135;94;99;76;52;40;17;16;4;6;1;2;4;1;2;-;-;1;4;1;1;-;-;-;2;-;1;-;-;-;-;1072
".....  GRAO MOGOL";-;1;2;-;1;9;17;26;35;51;59;73;93;76;77;77;52;43;15;-;3;1;2;2;3;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;725
".....  BOTUMIRIM";-;1;5;3;28;32;34;36;45;49;66;49;75;81;67;56;56;57;28;12;20;15;5;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;823
