"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Total"
"31085 Taiobeiras";-;9;7;23;31;36;64;91;228;281;280;489;616;530;654;820;733;512;335;483;364;280;171;124;92;63;36;29;23;19;14;7;4;3;2;3;3;2;5;3;1;8;3;-;7481
".....  TAIOBEIRAS";-;4;3;4;7;18;30;37;123;141;106;197;245;212;317;339;281;179;154;214;156;135;80;58;51;35;22;18;18;14;5;5;4;2;1;3;3;-;1;2;-;4;3;-;3231
".....  INDAIABIRA";-;2;-;1;1;-;6;1;11;30;47;54;66;81;56;44;10;8;2;1;1;4;4;2;4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;440
".....  MONTEZUMA";-;-;-;-;3;2;10;19;12;34;2;40;50;1;1;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;180
".....  SANTO ANTONIO DO RETIRO";-;-;-;-;-;-;-;4;2;4;2;2;17;23;31;47;65;50;59;50;36;45;17;4;9;4;-;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;479
".....  NINHEIRA";-;-;-;-;-;-;2;-;5;5;4;5;14;6;7;24;13;11;4;10;24;8;8;9;11;4;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;179
".....  SAO JOAO DO PARAISO";-;-;4;12;10;9;10;17;30;8;25;58;123;77;79;141;166;117;93;106;60;42;24;13;1;2;1;2;1;1;7;1;-;-;-;-;-;2;-;-;-;-;-;-;1242
".....  RIO PARDO DE MINAS";-;-;-;4;5;5;5;6;25;39;60;92;64;95;127;167;150;101;10;75;73;33;30;32;14;15;9;3;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1244
".....  VARGEM GRANDE DO RIO PARDO";-;-;-;1;-;-;-;-;3;1;2;2;9;10;4;3;10;3;6;6;1;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67
".....  BERIZAL";-;-;-;-;1;1;1;-;-;1;8;7;11;2;4;9;8;1;3;1;5;1;2;-;-;1;2;-;1;1;1;-;-;-;1;-;-;-;3;1;-;2;-;-;79
".....  CURRAL DE DENTRO";-;3;-;1;4;1;-;7;17;18;24;32;17;23;28;45;28;41;4;19;8;10;4;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;340
"31086 Divinópolis";-;511;717;950;1280;1454;1991;1957;2617;3021;2661;2456;2574;1728;1584;1626;1356;1092;811;756;655;487;371;295;222;174;128;101;63;43;27;48;43;38;49;32;49;38;24;33;39;17;20;-;34138
".....  SAO GONCALO DO PARA";-;4;10;19;21;7;17;28;80;51;74;96;81;34;50;64;53;31;17;11;9;1;5;2;4;3;1;-;-;-;-;-;-;1;2;2;-;-;-;1;2;2;7;-;790
".....  SAO SEBASTIAO DO OESTE";-;3;3;24;44;38;68;75;77;98;199;174;171;155;112;132;110;46;46;26;19;15;13;4;4;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1660
".....  ARAUJOS";-;13;40;54;72;100;122;136;104;196;233;152;134;88;79;51;67;71;54;23;27;23;18;13;4;3;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1882
".....  DIVINOPOLIS";-;138;237;301;503;656;782;972;1196;1474;1186;1101;1215;879;936;1055;823;679;496;530;449;361;258;228;163;137;94;92;57;39;25;44;42;36;45;25;40;28;16;21;19;13;5;-;17396
".....  CLAUDIO";-;2;22;55;60;119;151;152;267;260;293;425;467;334;224;167;148;165;129;104;64;30;41;29;22;16;8;1;2;2;-;-;-;-;1;-;2;2;-;2;4;-;-;-;3770
".....  PERDIGAO";-;208;190;206;215;130;210;124;123;101;76;56;56;43;46;43;52;42;29;22;38;21;21;10;13;5;13;4;-;1;-;-;-;1;-;-;1;2;1;-;2;1;-;-;2106
".....  CARMO DO CAJURU";-;47;108;200;243;287;368;281;400;422;310;253;250;94;86;50;48;27;20;15;28;16;9;6;8;8;6;4;2;1;1;3;1;-;-;5;4;6;2;2;2;-;-;-;3623
".....  ITAPECERICA";-;96;107;91;122;117;273;189;370;419;290;199;200;101;51;64;55;31;20;25;21;20;6;3;4;1;1;-;1;-;1;1;-;-;1;-;1;-;5;6;10;1;8;-;2911
"31087 Lagoa da Prata/Santo Antônio do Monte";-;111;281;434;675;810;1265;1344;1925;2217;2123;2293;2366;1916;1291;994;732;657;496;405;398;258;187;132;106;60;78;48;23;30;26;16;14;17;13;5;18;17;11;9;3;6;3;-;23813
".....  LAGOA DA PRATA";-;74;172;229;371;233;490;505;671;935;655;687;588;524;433;388;293;258;209;162;150;86;76;46;46;24;28;23;15;9;7;6;4;12;5;4;5;4;2;2;2;3;3;-;8439
".....  SANTO ANTONIO DO MONTE";-;23;49;94;145;289;465;466;708;718;699;772;951;796;274;136;91;53;20;21;18;4;3;-;-;2;-;2;-;1;-;2;-;-;1;-;1;-;1;-;-;2;-;-;6807
".....  JAPARAIBA";-;2;9;35;35;67;75;87;97;94;90;109;87;55;56;42;31;28;19;18;8;10;8;2;1;1;2;2;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1075
".....  PEDRA DO INDAIA";-;2;2;7;22;35;31;52;46;58;106;123;153;109;104;84;59;38;21;21;11;3;11;3;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1104
".....  ARCOS";-;10;49;69;102;186;204;234;403;412;573;602;587;432;424;344;258;280;227;183;211;155;89;81;59;32;48;21;8;15;19;8;10;5;6;-;12;13;8;7;1;1;-;-;6388
"31088 Oliveira/Santo Antônio do Amparo";-;292;318;356;400;531;611;670;831;1050;1098;1139;1290;948;832;891;731;590;490;381;300;273;121;140;67;52;25;20;30;5;5;1;3;-;-;-;2;5;4;3;5;3;-;-;14513
".....  CARMO DA MATA";-;25;34;51;38;91;116;128;141;187;205;212;242;218;181;190;120;88;65;24;22;7;8;2;1;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2400
".....  OLIVEIRA";-;4;8;18;32;77;112;157;178;208;290;320;287;188;190;171;234;168;173;141;153;170;48;113;50;39;15;15;25;2;5;1;-;-;-;-;1;4;2;2;1;1;-;-;3603
".....  PASSA TEMPO";-;-;-;6;26;29;25;45;46;97;144;161;184;125;134;133;96;49;35;41;24;20;10;6;6;2;1;1;-;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1450
".....  SAO FRANCISCO DE PAULA";-;-;2;4;13;16;50;69;80;116;118;112;238;158;155;135;78;100;82;51;12;8;8;2;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1612
".....  CARMOPOLIS DE MINAS";-;11;22;31;63;99;186;181;230;299;241;238;281;235;137;240;179;160;132;113;86;66;46;17;9;6;8;3;1;1;-;-;1;-;-;-;1;-;-;1;4;-;-;-;3328
".....  SANTO ANTONIO DO AMPARO";-;252;252;246;228;219;122;90;156;143;100;96;58;24;35;22;24;25;3;11;3;2;1;-;-;2;-;-;1;-;-;-;2;-;-;-;-;1;1;-;-;1;-;-;2120
"31089 Campo Belo";-;223;311;385;662;907;1278;1702;1911;1893;2202;2053;1746;1143;877;756;443;238;211;179;124;42;29;21;27;15;10;1;3;-;1;-;1;3;6;2;2;4;4;-;-;2;-;-;19417
".....  CANA VERDE";-;36;59;73;146;176;142;149;134;114;101;88;74;63;62;66;34;22;4;17;14;12;9;11;15;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1626
".....  CAMACHO";-;-;-;6;8;3;22;13;17;13;35;18;58;23;21;28;2;15;13;6;2;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;310
".....  CANDEIAS";-;24;66;98;156;215;225;311;316;327;373;264;292;208;84;97;44;12;15;22;14;2;3;1;5;4;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3185
".....  CAMPO BELO";-;13;57;93;248;394;656;909;1051;987;1167;994;913;621;491;374;247;124;122;102;78;10;5;3;2;5;5;1;2;-;1;-;-;1;4;-;1;2;4;-;-;1;-;-;9688
".....  SANTANA DO JACARE";-;149;124;86;25;28;15;7;8;9;3;6;4;9;3;5;2;2;-;2;1;-;1;4;1;1;-;-;-;-;-;-;-;-;1;2;1;1;-;-;-;-;-;-;500
".....  CRISTAIS";-;-;1;18;58;73;155;243;303;312;399;535;318;177;183;166;89;44;47;27;13;7;7;1;4;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;3183
".....  AGUANIL";-;1;4;11;21;18;63;70;82;131;124;148;87;42;33;20;25;19;10;3;2;6;2;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;925
"31090 Lima Duarte";-;6;9;20;47;85;154;186;206;307;441;421;520;506;661;650;548;437;369;305;276;237;115;99;52;20;29;10;18;10;4;5;5;1;6;-;-;1;1;2;1;4;6;-;6780
".....  ANDRELANDIA";-;-;-;5;9;3;12;7;24;24;30;37;35;43;36;48;57;55;53;39;41;39;18;5;5;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;2;-;632
".....  PEDRO TEIXEIRA";-;-;-;-;1;-;6;15;18;7;6;4;10;6;8;10;4;3;3;2;8;4;2;1;-;1;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;123
".....  PASSA-VINTE";-;-;-;-;-;1;8;4;2;6;1;3;6;5;16;33;22;22;10;11;18;5;4;6;2;1;8;1;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;198
".....  ARANTINA";-;-;-;-;4;4;24;19;8;29;62;24;36;16;31;7;-;-;-;3;-;6;-;3;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;278
".....  BIAS FORTES";-;-;-;1;1;1;-;-;-;6;9;2;28;49;26;10;14;2;1;-;2;2;-;2;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;158
".....  OLARIA";-;-;1;-;1;3;3;1;1;8;7;6;8;6;15;13;25;7;11;10;3;2;1;6;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140
".....  BOCAINA DE MINAS";-;-;-;-;-;1;3;1;1;3;2;1;3;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;21
".....  SANTA BARBARA DO MONTE VERDE";-;-;1;-;9;10;10;19;10;19;21;12;15;23;32;49;29;24;24;16;13;12;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;355
".....  LIMA DUARTE";-;-;3;4;5;12;20;37;80;95;186;222;277;255;383;334;272;230;195;127;114;92;22;48;8;14;5;1;3;3;1;3;-;-;1;-;-;-;-;-;-;-;3;-;3055
".....  RIO PRETO";-;-;1;-;-;2;9;6;12;19;26;23;37;41;36;56;33;37;24;21;28;18;26;9;28;3;6;5;12;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;522
".....  LIBERDADE";-;-;-;1;2;-;1;2;1;3;12;16;4;14;13;16;8;9;8;4;3;5;8;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;132
".....  BOM JARDIM DE MINAS";-;2;-;1;-;9;10;4;10;26;26;27;32;33;43;36;34;23;31;61;36;48;29;15;9;-;5;2;2;2;1;1;1;-;4;-;-;1;1;-;1;3;1;-;570
".....  SANTA RITA DE JACUTINGA";-;4;3;8;15;39;48;71;39;62;53;44;29;15;22;36;49;25;9;11;10;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;596
"31091 Cássia";-;41;56;52;120;128;206;231;232;228;365;538;632;617;683;775;650;530;391;425;283;290;130;94;86;65;13;15;16;5;3;2;2;4;5;1;3;1;-;3;1;1;1;-;7924
".....  CASSIA";-;4;13;5;17;22;28;37;55;66;191;313;398;305;443;486;351;266;192;144;94;39;24;8;16;9;2;3;7;-;1;1;2;2;3;1;3;1;-;3;-;-;1;-;3556
".....  CAPETINGA";-;-;-;4;50;49;42;51;72;71;86;127;149;182;152;163;156;109;100;101;64;68;38;22;14;8;3;1;6;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1891
".....  DELFINOPOLIS";-;36;43;40;50;51;128;133;90;73;49;35;17;23;33;7;22;6;6;2;1;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;849
".....  IBIRACI";-;-;-;3;1;4;4;9;11;8;13;17;43;75;29;58;96;89;62;144;96;120;3;52;46;33;8;10;2;3;2;-;-;2;2;-;-;-;-;-;-;-;-;-;1045
".....  CLARAVAL";-;1;-;-;2;2;4;1;4;10;26;46;25;32;26;61;25;60;31;34;28;63;64;12;10;15;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;583
"31092 Passos";-;141;158;259;406;512;740;542;1450;1655;1800;2636;2616;1604;1866;1902;1385;1325;1047;827;752;698;291;311;173;97;98;71;56;46;38;19;12;13;9;20;21;49;27;19;32;26;24;-;25773
".....  ITAU DE MINAS";-;5;7;11;14;25;20;18;58;73;75;89;119;96;130;181;169;206;170;117;152;148;34;33;21;15;10;4;7;2;2;2;2;-;-;1;1;-;1;1;1;1;5;-;2026
".....  ALPINOPOLIS";-;7;3;13;34;49;34;53;87;79;81;113;88;66;74;94;90;68;34;49;55;52;33;19;6;8;7;3;4;2;3;1;1;-;-;2;-;-;-;-;-;-;-;-;1312
".....  BOM JESUS DA PENHA";-;2;-;-;-;-;6;5;8;7;10;10;12;14;10;25;20;5;11;11;10;5;7;5;2;2;2;1;-;-;-;1;-;-;-;-;-;-;-;2;1;2;-;-;196
".....  SAO JOSE DA BARRA";-;3;9;7;2;4;14;35;21;31;42;48;47;30;33;43;35;45;30;25;29;22;12;18;7;4;-;-;1;-;2;1;1;-;1;-;1;-;-;-;-;-;-;-;603
".....  NOVA RESENDE";-;1;2;2;6;14;17;14;46;50;80;106;165;150;134;100;64;65;34;60;68;59;42;10;5;-;9;-;2;-;-;-;-;-;1;-;2;1;2;1;-;-;-;-;1312
".....  PASSOS";-;119;133;211;325;385;614;363;1168;1335;1365;2118;2007;1087;1330;1262;818;735;595;388;297;270;95;186;109;57;59;59;36;42;29;14;7;13;7;17;15;47;24;13;29;22;19;-;17824
".....  FORTALEZA DE MINAS";-;-;-;1;1;5;14;6;1;3;5;9;14;8;14;9;15;6;6;9;6;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;137
".....  CARMO DO RIO CLARO";-;4;4;13;13;18;13;28;42;58;100;98;135;137;115;154;143;147;114;138;106;112;45;21;12;7;9;1;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1791
".....  SAO JOAO BATISTA DO GLORIA";-;-;-;1;11;12;8;20;19;19;42;45;29;16;26;34;31;48;53;30;29;27;23;19;11;4;2;2;4;-;1;-;1;-;-;-;2;-;-;1;1;1;-;-;572
"31093 Piumhi";-;208;328;431;601;737;767;675;887;1035;1130;931;1270;828;636;676;539;430;382;357;296;249;131;80;67;45;48;38;32;25;15;10;12;5;9;5;16;17;17;14;11;5;2;-;13997
".....  PIMENTA";-;57;90;126;203;207;183;157;149;166;165;134;136;97;77;78;55;34;23;13;13;13;15;6;4;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2206
".....  PIUMHI";-;141;215;257;345;437;503;417;594;704;733;559;653;401;307;340;244;196;172;150;118;97;56;41;28;21;36;29;28;16;8;5;10;2;4;3;12;16;9;10;11;5;2;-;7935
".....  GUAPE";-;-;2;7;12;33;13;47;63;82;117;104;295;239;124;134;93;68;41;40;38;28;11;4;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1603
".....  SAO ROQUE DE MINAS";-;2;1;3;2;7;4;17;16;17;28;50;67;50;58;66;91;78;69;81;46;50;33;14;12;9;9;5;-;5;2;1;1;-;1;-;-;1;-;1;-;-;-;-;897
".....  DORESOPOLIS";-;1;7;3;2;3;4;5;6;3;8;9;5;2;1;5;3;2;1;1;-;-;-;-;2;2;-;-;-;-;-;-;-;2;-;1;2;-;1;1;-;-;-;-;82
".....  VARGEM BONITA";-;-;2;8;15;19;27;10;29;23;34;27;33;20;19;9;10;12;17;12;17;10;2;4;1;1;1;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;365
".....  CAPITOLIO";-;7;11;27;22;31;33;22;30;40;45;48;81;19;50;44;43;40;59;60;64;51;14;11;13;6;2;4;2;4;5;3;1;1;4;1;2;-;7;2;-;-;-;-;909
"31094 Almenara/Jacinto";-;28;41;41;65;90;140;164;332;502;588;527;562;319;427;374;268;170;149;160;149;127;57;39;36;28;22;4;10;7;4;7;5;4;4;6;2;-;1;-;1;-;1;-;5461
".....  JOAIMA";-;1;4;5;3;9;22;12;65;62;104;93;61;19;33;26;8;16;6;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;557
".....  SANTA MARIA DO SALTO";-;-;-;1;-;-;2;-;4;5;6;6;7;15;14;12;6;6;5;3;7;3;4;4;2;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;118
".....  RIO DO PRADO";-;3;1;2;-;1;7;9;8;20;31;15;32;32;37;21;13;12;10;6;4;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;269
".....  JEQUITINHONHA";-;3;1;3;4;3;15;18;19;33;41;43;55;35;43;29;34;23;15;7;14;7;4;4;1;3;1;1;5;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;466
".....  BANDEIRA";-;-;-;1;-;1;4;1;5;10;3;2;4;7;16;28;19;13;10;10;18;12;7;8;6;3;2;-;1;-;-;-;-;-;3;5;2;-;-;-;-;-;1;-;202
".....  JACINTO";-;-;-;-;-;5;5;4;12;37;42;59;64;16;15;23;4;11;9;2;2;3;-;1;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;318
".....  RUBIM";-;-;1;-;1;1;-;5;13;6;18;22;40;21;51;47;32;13;11;18;14;15;4;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;337
".....  SALTO DA DIVISA";-;1;-;1;-;2;-;9;30;45;10;11;2;2;5;4;7;3;4;5;3;1;2;-;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;152
".....  JORDANIA";-;-;-;1;1;1;1;-;5;6;9;6;17;8;9;6;5;7;2;3;8;10;2;6;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;118
".....  SANTO ANTONIO DO JACINTO";-;-;1;2;-;2;6;10;14;20;9;16;30;27;22;34;34;17;23;22;17;25;7;3;6;7;11;1;-;3;1;4;3;1;1;-;-;-;-;-;-;-;-;-;379
".....  ALMENARA";-;1;4;-;9;8;19;14;53;90;99;88;71;39;82;48;52;30;17;21;24;19;14;5;8;5;1;1;2;2;2;2;2;3;-;1;-;-;-;-;1;-;-;-;837
".....  PALMOPOLIS";-;-;-;3;5;6;3;6;16;22;13;15;30;21;3;1;6;4;-;19;14;2;3;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;194
".....  FELISBURGO";-;19;29;21;42;51;50;74;88;135;197;138;135;67;56;48;35;14;13;11;7;2;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1235
".....  MATA VERDE";-;-;-;1;-;-;6;2;-;11;6;13;14;10;41;47;13;1;24;30;13;28;6;4;6;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;279
"31095 Serro";-;16;60;111;200;394;559;536;821;753;479;461;816;618;571;590;456;360;240;199;133;79;45;26;11;12;-;5;1;3;-;-;-;1;5;2;2;2;4;3;8;1;-;-;8583
".....  CONCEICAO DO MATO DENTRO";-;11;41;65;96;171;266;311;401;384;341;224;195;109;109;78;12;50;13;23;8;8;4;3;3;-;-;-;-;-;-;-;-;1;5;1;-;-;-;1;-;-;-;-;2934
".....  SANTO ANTONIO DO ITAMBE";-;-;-;3;8;5;7;12;28;13;11;19;38;13;33;25;33;21;28;15;23;10;8;1;1;5;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;363
".....  SERRA AZUL DE MINAS";-;-;1;-;1;4;26;40;28;32;35;48;32;24;24;23;15;6;8;7;2;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;360
".....  SERRO";-;5;14;29;59;121;173;101;275;232;13;96;483;412;352;435;369;257;176;142;91;59;30;20;5;5;-;4;-;3;-;-;-;-;-;-;2;2;4;1;6;1;-;-;3977
".....  ALVORADA DE MINAS";-;-;4;14;36;93;87;72;89;92;79;74;68;60;53;29;27;26;15;12;9;-;2;2;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;949
"31096 Itambacuri";-;16;21;32;51;140;227;287;528;447;575;522;453;303;229;171;121;87;71;49;39;29;14;8;4;10;5;9;1;-;-;-;-;-;2;-;2;9;-;-;-;-;-;-;4462
".....  NOVA MODICA";-;1;-;1;2;3;12;20;53;32;59;38;32;30;27;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321
".....  CAMPANARIO";-;-;-;1;-;7;5;18;22;39;30;33;19;15;15;16;5;-;2;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;232
".....  ITAMBACURI";-;4;9;21;34;102;145;207;335;306;428;384;333;228;147;95;82;66;57;37;27;20;11;5;2;6;4;6;1;-;-;-;-;-;-;-;2;9;-;-;-;-;-;-;3113
".....  SAO JOSE DO DIVINO";-;9;11;8;15;21;43;20;53;21;9;16;29;11;11;8;11;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;299
".....  FREI GASPAR";-;2;1;-;-;2;14;14;49;30;28;17;9;4;10;9;3;5;2;3;3;2;2;-;-;4;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;218
".....  PESCADOR";-;-;-;1;-;5;8;8;16;19;21;34;31;15;19;33;19;14;10;8;7;6;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;279
"31097 Juiz de Fora";-;240;322;418;546;722;871;941;1772;1383;1196;1225;1464;1820;1993;2049;1873;1880;1617;1932;1684;1540;823;569;365;360;237;184;112;81;74;42;46;19;26;4;25;9;33;14;26;3;10;-;30550
".....  CHACARA";-;-;2;1;2;14;23;21;13;8;10;9;19;16;41;23;26;11;26;26;19;22;15;8;13;9;13;11;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;406
".....  CORONEL PACHECO";-;2;1;6;6;7;11;29;39;22;36;14;15;21;7;17;22;8;10;15;11;3;4;1;3;1;4;1;-;-;-;2;-;-;-;-;1;1;-;1;1;-;-;-;322
".....  CHIADOR";-;9;10;9;20;13;11;14;28;18;29;22;15;14;19;7;8;4;10;3;6;4;2;1;1;1;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;282
".....  BELMIRO BRAGA";-;2;3;2;2;3;-;2;5;7;3;6;16;31;60;59;34;28;28;37;28;24;12;12;-;4;8;4;2;1;-;-;-;-;2;-;1;-;1;1;1;-;-;-;429
".....  JUIZ DE FORA";-;86;114;163;274;387;553;614;1241;999;819;914;1141;1523;1632;1748;1581;1711;1453;1745;1474;1394;741;501;315;319;188;157;95;74;71;39;42;17;23;3;20;3;29;10;21;1;8;-;24243
".....  SANTANA DO DESERTO";-;18;25;40;41;39;36;35;98;54;47;38;27;18;13;11;3;1;5;6;6;3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;567
".....  GOIANA";-;9;13;15;6;20;8;2;15;11;25;23;21;27;49;28;28;24;23;23;46;25;13;13;14;16;8;5;3;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;518
".....  SIMAO PEREIRA";-;44;35;23;23;40;22;18;25;14;23;2;8;-;1;3;5;4;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;294
".....  PIAU";-;45;52;34;33;30;12;21;19;1;14;4;3;7;1;2;8;2;3;2;6;9;7;3;2;1;3;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327
".....  RIO NOVO";-;4;7;4;15;15;13;23;64;28;10;9;16;17;10;4;12;15;12;14;16;8;8;6;6;2;-;-;-;-;-;-;1;1;-;-;2;3;-;-;-;-;-;-;345
".....  MATIAS BARBOSA";-;20;53;105;91;92;117;93;142;132;117;117;111;109;116;107;114;42;36;38;51;33;19;16;8;6;9;4;3;-;-;1;3;1;1;1;1;2;3;2;3;1;2;-;1922
".....  EWBANK DA CAMARA";-;1;7;16;33;62;65;69;83;89;63;67;72;37;44;40;32;30;11;22;21;15;2;5;2;1;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;895
"31098 Salinas";-;22;64;90;167;210;386;350;455;386;423;371;446;362;297;315;246;176;102;86;44;34;14;9;4;3;6;1;2;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;5074
".....  PADRE CARVALHO";-;4;8;20;14;28;37;26;54;60;54;50;62;76;68;65;47;23;13;15;7;3;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;737
".....  FRUTA DE LEITE";-;8;8;9;23;28;32;36;54;31;41;31;33;36;43;35;22;19;12;4;5;3;3;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;518
".....  NOVORIZONTE";-;-;-;2;4;11;8;10;28;17;19;18;10;20;21;21;20;18;28;7;-;2;3;2;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;272
".....  RUBELITA";-;1;2;4;1;4;15;32;30;24;49;58;86;76;51;59;47;20;12;8;6;7;1;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;598
".....  SALINAS";-;8;46;52;124;136;280;242;276;242;245;212;232;142;110;124;99;84;26;42;22;18;7;3;2;2;3;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2782
".....  SANTA CRUZ DE SALINAS";-;1;-;3;1;3;14;4;13;12;15;2;23;12;4;11;11;12;11;10;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;167
"31099 Teófilo Otoni/Malacacheta";-;66;69;111;182;279;469;501;859;1118;1178;1242;1641;1028;1614;1298;1081;760;577;543;449;324;173;138;103;96;69;57;40;46;27;7;12;26;21;17;21;13;14;20;5;3;5;1;16303
".....  SETUBINHA";-;1;-;1;3;9;9;21;14;17;12;16;12;6;21;24;33;46;67;52;19;20;8;5;5;4;1;-;-;1;-;-;1;-;2;-;-;1;4;3;-;-;-;-;438
".....  ANGELANDIA";-;-;-;-;-;10;13;40;41;31;38;65;58;81;91;28;51;71;35;35;61;38;11;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;801
