Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53,Total,CIR
Ponte Nova,6,8,8,3,1,6,3,9,15,13,12,8,9,9,13,8,8,11,8,11,4,12,5,5,7,4,2,2,2,0,0,0,2,0,0,1,3,3,0,1,0,1,1,0,3,2,3,2,1,3,8,3,0,249,31060
Viçosa,2,0,0,1,1,0,0,3,1,1,1,1,1,1,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,31061
Araçuaí,16,15,26,22,15,30,32,17,28,28,30,39,28,25,33,21,28,11,11,8,9,18,10,14,10,7,4,6,11,6,1,2,0,2,5,4,1,1,1,1,7,2,2,7,9,8,6,18,18,12,16,25,3,709,31064
Itaobim,2,10,6,9,0,3,2,4,3,3,6,9,7,4,2,1,3,2,0,3,4,3,5,7,5,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,3,0,3,5,3,4,9,5,2,0,145,31065
Nanuque,1,0,1,0,2,1,2,1,4,4,4,4,2,4,2,1,6,2,2,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,1,0,0,1,2,1,1,1,1,2,0,0,68,31066
Padre Paraíso,2,1,3,2,3,0,2,1,1,1,0,1,0,1,0,0,0,2,3,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,3,0,0,0,36,31067
Pedra azul,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,31068
Araxá,26,26,15,12,22,17,13,15,25,17,16,21,23,21,30,15,24,32,24,27,17,17,16,13,13,13,5,10,6,3,11,11,6,8,4,3,10,7,8,3,10,7,7,9,9,10,4,7,10,7,11,11,3,710,31070
"Frutal,Iturama",10,14,21,24,25,48,29,63,52,54,44,65,64,68,45,38,51,40,40,52,36,15,27,16,12,7,12,14,6,9,5,10,8,13,15,8,6,5,10,6,2,6,6,6,2,3,7,9,6,6,13,9,3,1165,31071
Uberaba,102,81,131,150,114,115,148,117,77,100,112,77,104,97,98,83,72,67,59,57,64,40,72,44,41,30,36,34,42,17,33,32,34,35,29,38,41,40,28,22,17,25,19,23,31,34,33,20,36,28,24,22,5,3030,31072
Ituiutaba,13,14,24,24,32,61,77,84,64,72,65,80,60,76,40,34,27,34,35,37,17,16,26,14,6,6,6,6,2,5,3,5,10,4,1,6,6,2,5,4,2,2,1,1,4,1,6,3,5,1,3,2,2,1136,31073
"Patrocínio,Monte Carmelo",8,15,11,22,22,33,28,20,25,14,14,11,12,10,15,6,9,12,11,9,5,4,11,9,9,12,4,1,5,1,2,2,4,4,0,1,2,5,4,6,5,1,6,0,4,5,6,5,5,6,7,4,0,452,31074
"Uberlândia,Araguari",76,78,77,83,76,56,56,82,56,84,78,63,56,59,59,64,64,67,59,37,44,42,49,59,41,32,38,36,30,37,27,64,49,46,27,36,52,46,37,41,58,43,42,80,63,82,60,66,89,51,39,51,11,2898,31075
Manga,1,1,0,2,1,1,1,2,6,11,14,12,11,6,10,3,10,13,3,2,11,7,2,3,3,4,4,5,2,2,1,7,5,8,6,1,4,1,0,0,0,0,2,1,1,1,1,1,0,3,3,4,0,203,31076
João Pinheiro,0,3,2,0,0,0,0,1,2,1,3,1,0,1,3,4,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,2,1,0,1,0,0,8,0,0,0,0,0,0,0,0,41,31077
Congonhas,0,4,1,4,2,0,1,4,2,4,8,3,1,2,2,5,3,0,1,0,2,0,4,1,0,0,0,0,0,1,0,0,1,1,1,0,1,4,2,1,0,1,1,3,0,0,1,1,0,2,1,0,0,76,31078
Conselheiro Lafaiete,2,1,6,6,3,4,5,12,3,10,6,5,3,0,1,5,5,0,3,3,2,0,2,1,1,0,2,0,0,2,0,0,3,2,0,2,2,3,2,1,2,1,2,2,6,2,6,5,4,5,7,0,0,150,31079
São Gotardo,0,1,1,2,2,0,0,1,0,0,1,1,0,1,3,1,1,0,2,1,4,1,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,2,1,1,0,1,0,0,0,0,1,3,4,1,0,47,31082
