Município,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Total,CIR
Cássia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31091
Passos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,31092
Piumhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,31093
"Almenara,Jacinto",0,9,22,13,9,9,23,3,1,3,10,1,1,1,1,0,1,1,0,3,6,7,20,50,43,32,11,3,3,1,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,295,31094
Serro,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,31095
Itambacuri,1,2,2,1,0,3,1,2,2,1,1,0,3,3,2,5,6,2,2,3,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,31096
Juiz de Fora,0,0,0,0,1,1,1,2,2,2,2,6,2,1,2,2,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,1,0,2,2,5,2,1,4,0,0,0,2,0,1,0,3,0,0,53,31097
"Teófilo Otoni,Malacacheta",8,4,4,17,37,99,155,121,74,175,227,295,185,162,155,210,126,125,95,78,55,40,38,24,17,16,7,5,2,7,4,3,2,4,1,1,1,4,0,3,2,4,1,1,2,0,1,2,0,1,1,2,2603,31099
São Francisco,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31100
Brasília de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,31101
"Peçanha,São João Evangelista,Santa Maria do Suaçuí",0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31102
